id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,JANUARI,36.0,MILIMETER,2015
2,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,FEBRUARI,40.0,MILIMETER,2015
3,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,MARET,45.0,MILIMETER,2015
4,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,APRIL,30.0,MILIMETER,2015
5,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,MEI,0.0,MILIMETER,2015
6,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,JUNI,0.0,MILIMETER,2015
7,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,JULI,0.0,MILIMETER,2015
8,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,AGUSTUS,20.0,MILIMETER,2015
9,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,SEPTEMBER,10.0,MILIMETER,2015
10,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,OKTOBER,20.0,MILIMETER,2015
11,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,NOVEMBER,60.0,MILIMETER,2015
12,32.0,JAWA BARAT,CISADEA-CIBARENO,BATU KARUT,DESEMBER,42.0,MILIMETER,2015
13,32.0,JAWA BARAT,CISADEA-CIBARENO,CIAUL PASIR,JANUARI,25.0,MILIMETER,2015
14,32.0,JAWA BARAT,CISADEA-CIBARENO,CIAUL PASIR,FEBRUARI,21.0,MILIMETER,2015
15,32.0,JAWA BARAT,CISADEA-CIBARENO,CIAUL PASIR,MARET,23.0,MILIMETER,2015
16,32.0,JAWA BARAT,CISADEA-CIBARENO,CIAUL PASIR,APRIL,8.0,MILIMETER,2015
