id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,47.0,MILIMETER,2015
2,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,44.0,MILIMETER,2015
3,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,35.0,MILIMETER,2015
4,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,40.0,MILIMETER,2015
5,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,26.0,MILIMETER,2015
6,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,32.0,MILIMETER,2015
7,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,24.0,MILIMETER,2015
8,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,3.0,MILIMETER,2015
9,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,16.0,MILIMETER,2015
10,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,42.0,MILIMETER,2015
11,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,19.0,MILIMETER,2015
12,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,29.0,MILIMETER,2015
13,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,43.0,MILIMETER,2015
14,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,53.0,MILIMETER,2015
15,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,26.0,MILIMETER,2015
16,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,98.0,MILIMETER,2015
17,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,19.5,MILIMETER,2015
18,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,26.0,MILIMETER,2015
19,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2015
20,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,0.0,MILIMETER,2015
21,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,8.5,MILIMETER,2015
22,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,17.0,MILIMETER,2015
23,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,75.5,MILIMETER,2015
24,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,29.0,MILIMETER,2015
25,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,80.0,MILIMETER,2016
26,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,45.0,MILIMETER,2016
